Date,Nat,Lab,Green,ACT,NZF,TPM
2025-07-06,42.0,39.0,12.0,11.0,12.0,6.0
2025-06-09,42.0,44.0,10.0,12.0,8.0,6.0
2025-05-30,38.0,42.0,14.0,8.0,11.0,7.0
2025-05-28,43.0,37.0,15.0,10.0,10.0,6.0
2025-05-25,40.0,37.0,14.0,15.0,8.0,6.0
2025-05-04,42.0,41.0,11.0,12.0,9.0,6.0
2025-04-20,39.0,36.0,17.0,11.0,11.0,6.0
2025-04-02,44.0,40.0,12.0,11.0,9.0,6.0
2025-04-01,42.0,37.0,14.0,13.0,9.0,6.0
2025-03-27,41.0,40.0,12.0,12.0,9.0,6.0
2025-03-23,41.0,35.0,18.0,10.0,9.0,7.0
2025-03-10,39.0,43.0,13.0,12.0,8.0,6.0
2025-03-04,42.0,42.0,12.0,10.0,6.0,8.0
2025-02-23,38.0,36.0,20.0,14.0,8.0,6.0
2025-02-07,43.0,42.0,13.0,11.0,6.0,6.0
2025-02-04,39.0,39.0,16.0,12.0,8.0,6.0
2025-01-27,40.0,42.0,15.0,11.0,6.0,6.0
2025-01-26,40.0,36.0,14.0,11.0,11.0,8.0
2025-01-13,38.0,39.0,12.0,14.0,10.0,7.0
2024-12-15,39.0,32.0,17.0,16.0,9.0,7.0
2024-12-04,46.0,36.0,12.0,10.0,7.0,9.0
2024-12-03,44.0,34.0,11.0,17.0,7.0,7.0
2024-11-28,39.0,40.0,12.0,12.0,8.0,9.0
2024-11-27,42.0,39.0,16.0,10.0,8.0,6.0
2024-11-24,37.0,36.0,17.0,11.0,8.0,11.0
2024-11-10,48.0,39.0,11.0,11.0,8.0,6.0
2024-11-10,42.0,41.0,12.0,12.0,9.0,6.0
2024-10-20,39.0,37.0,18.0,11.0,9.0,6.0
2024-10-09,47.0,37.0,15.0,10.0,6.0,6.0
2024-10-07,44.0,38.0,13.0,12.0,9.0,6.0
2024-09-22,47.0,29.0,17.0,13.0,9.0,6.0
2024-09-10,48.0,33.0,14.0,11.0,8.0,6.0
2024-09-10,46.0,39.0,12.0,10.0,8.0,6.0
2024-08-25,45.0,33.0,16.0,12.0,9.0,6.0
2024-08-14,49.0,38.0,14.0,8.0,7.0,6.0
2024-07-21,41.0,31.0,18.0,14.0,8.0,8.0
2024-07-08,47.0,33.0,16.0,11.0,9.0,6.0
2024-06-23,44.0,35.0,18.0,11.0,7.0,6.0
2024-06-19,47.0,36.0,16.0,9.0,8.0,6.0
2024-06-06,44.0,36.0,16.0,12.0,7.0,6.0
2024-05-19,42.0,38.0,17.0,12.0,7.0,6.0
2024-05-07,47.0,37.0,13.0,12.0,7.0,6.0
2024-04-30,42.0,41.0,15.0,9.0,8.0,6.0
2024-04-24,48.0,40.0,18.0,9.0,0.0,6.0
2024-04-21,45.0,31.0,16.0,14.0,7.0,7.0
2024-04-04,47.0,32.0,18.0,9.0,8.0,6.0
2024-02-25,45.0,27.0,19.0,15.0,9.0,5.0
2024-02-10,47.0,35.0,15.0,9.0,8.0,6.0
2024-02-07,49.0,34.0,11.0,17.0,6.0,6.0
2024-01-28,49.0,28.0,20.0,10.0,7.0,6.0
2023-12-01,46.0,28.0,20.0,12.0,8.0,8.0
2023-12-05,46.0,36.0,14.0,8.0,10.0,6.0
2023-11-06,46.0,35.0,17.0,10.0,8.0,6.0
2023-10-14,48.0,34.0,15.0,11.0,8.0,6.0
