Date,Lab + Green + TPM,Nat + ACT + NZF
2024-11-10,56.0,67.0
2024-11-10,59.0,63.0
2024-10-20,61.0,59.0
2024-10-09,58.0,63.0
2024-10-07,57.0,65.0
2024-09-22,52.0,69.0
2024-09-10,53.0,67.0
2024-09-10,57.0,64.0
2024-08-25,55.0,66.0
2024-08-14,58.0,64.0
2024-07-21,57.0,63.0
2024-07-08,55.0,67.0
2024-06-23,59.0,62.0
2024-06-19,58.0,64.0
2024-06-06,58.0,63.0
2024-05-19,61.0,61.0
2024-05-07,56.0,66.0
2024-04-30,62.0,59.0
2024-04-24,64.0,57.0
2024-04-21,54.0,66.0
2024-04-04,56.0,64.0
2024-02-25,51.0,69.0
2024-02-10,56.0,64.0
2024-02-07,51.0,72.0
2024-01-28,54.0,66.0
2023-12-01,56.0,66.0
2023-12-05,56.0,64.0
2023-11-06,58.0,64.0
2023-10-14,55.0,67.0
